# strong X-ray emission lines with Emissivity>1e-18
# with 0.1 keV < energy < 10.1 keV
# www.atomdb.org/Webguide, uses atomDB 3.0.2
ion	ionization_stage	energy	wavelength	upper_lev	lower_lev	emissivity	kT	relative_intensity
#(-)	(-)	(keV)	(A)	(level)	(level)	(ph*cm3/s)	(keV)	(-)
Fe	XI	0.172	72.0844244186	281	7	1.251E-018	0.1366	0
Fe	XI	0.172	72.0844244186	160	4	1.687E-018	0.1366	0
Si	VI	0.172	72.0844244186	99	1	4.06E-018	0.04319	0
Al	VII	0.172	72.0844244186	270	8	1.145E-018	0.06845	0
Fe	XIV	0.172	72.0844244186	97	19	1.53E-017	0.1719	0
Si	IX	0.172	72.0844244186	28	12	3.405E-017	0.1085	0
Fe	XIV	0.172	72.0844244186	47	6	1.351E-015	0.1719	0.14
Si	VI	0.172	72.0844244186	110	2	6.96E-018	0.04319	0
Si	VI	0.172	72.0844244186	98	1	1.276E-017	0.04319	0
Mg	VII	0.172	72.0844244186	128	4	1.732E-018	0.06845	0
Si	VI	0.172	72.0844244186	97	1	7.686E-018	0.04319	0
Fe	XIV	0.172	72.0844244186	64	10	2.604E-018	0.1719	0
Si	VIII	0.172	72.0844244186	20	3	3.667E-017	0.08617	0
Fe	XI	0.172	72.0844244186	278	7	6.527E-018	0.1366	0
Mg	IX	0.172	72.0844244186	35	9	2.634E-018	0.08617	0
Fe	XIV	0.172	72.0844244186	96	19	8.658E-018	0.1719	0
Fe	XIII	0.172	72.0844244186	155	13	3.13E-018	0.1719	0
Fe	XIV	0.172	72.0844244186	63	10	5.352E-017	0.1719	0.01
Ni	XIII	0.171	72.5059707602	225	33	1.13E-018	0.1719	0
Fe	XI	0.171	72.5059707602	156	4	7.889E-018	0.1366	0
Mg	IX	0.171	72.5059707602	20	5	1.036E-015	0.08617	0.11
Si	VIII	0.171	72.5059707602	22	4	1.315E-018	0.08617	0
Si	VI	0.171	72.5059707602	94	1	5.668E-018	0.04319	0
Fe	XIII	0.171	72.5059707602	145	12	3.373E-018	0.1719	0
Si	VII	0.171	72.5059707602	67	4	2.251E-017	0.06845	0
Si	VI	0.171	72.5059707602	93	1	1.376E-017	0.04319	0
Si	VIII	0.171	72.5059707602	22	5	1.056E-018	0.08617	0
Si	VI	0.171	72.5059707602	100	2	1.29E-017	0.04319	0
Fe	XI	0.171	72.5059707602	277	7	1.625E-017	0.1366	0
Si	VI	0.171	72.5059707602	92	1	1.078E-018	0.04319	0
Si	IX	0.171	72.5059707602	27	11	3.888E-017	0.1085	0
Si	IX	0.171	72.5059707602	27	12	9.861E-018	0.1085	0
Si	VI	0.171	72.5059707602	99	2	6.817E-018	0.04319	0
Fe	XI	0.171	72.5059707602	281	8	1.011E-018	0.1366	0
Si	VII	0.171	72.5059707602	64	4	2.214E-018	0.06845	0
Ni	XII	0.171	72.5059707602	58	1	2.544E-017	0.1366	0
Fe	XI	0.171	72.5059707602	155	4	1.161E-017	0.1366	0
Si	VIII	0.171	72.5059707602	21	5	2.956E-018	0.08617	0
Si	VIII	0.171	72.5059707602	19	2	2.465E-017	0.08617	0
Fe	XIV	0.171	72.5059707602	94	16	2.154E-018	0.1719	0
Fe	XIV	0.171	72.5059707602	115	32	1.457E-018	0.1719	0
Fe	XIII	0.171	72.5059707602	143	12	1.66E-018	0.1719	0
Si	IX	0.171	72.5059707602	26	10	1.003E-017	0.1085	0
Si	IX	0.171	72.5059707602	26	11	3.104E-018	0.1085	0
Fe	XIV	0.171	72.5059707602	97	20	1.255E-017	0.1719	0
Si	IX	0.171	72.5059707602	26	12	1.605E-018	0.1085	0
Fe	XV	0.171	72.5059707602	117	30	1.095E-018	0.2165	0
Fe	XIV	0.171	72.5059707602	93	16	1.366E-018	0.1719	0
Al	VII	0.171	72.5059707602	74	1	2.326E-018	0.06845	0
Fe	XIII	0.171	72.5059707602	293	49	6.272E-018	0.1719	0
Al	VII	0.171	72.5059707602	73	1	3.999E-018	0.06845	0
Al	VII	0.171	72.5059707602	72	1	7.147E-018	0.06845	0
Fe	XI	0.171	72.5059707602	153	4	2.155E-018	0.1366	0
Si	VI	0.171	72.5059707602	96	2	1.779E-018	0.04319	0
Co	XIII	0.171	72.5059707602	146	6	2.727E-018	0.1719	0
Fe	XIV	0.171	72.5059707602	95	19	1.47E-017	0.1719	0
Fe	XI	0.171	72.5059707602	278	8	3.656E-018	0.1366	0
Si	VI	0.171	72.5059707602	88	1	1.014E-018	0.04319	0
Mg	VII	0.171	72.5059707602	351	15	1.119E-018	0.06845	0
Si	VI	0.171	72.5059707602	94	2	1.449E-018	0.04319	0
Fe	XIV	0.171	72.5059707602	61	10	4.513E-018	0.1719	0
Fe	XI	0.171	72.5059707602	145	1	3.727E-018	0.1085	0
Fe	XI	0.171	72.5059707602	144	1	1.762E-018	0.1085	0
Fe	XIV	0.171	72.5059707602	94	19	5.896E-018	0.1719	0
Al	VI	0.171	72.5059707602	244	1	2.138E-018	0.04319	0
Fe	XII	0.171	72.5059707602	307	10	1.018E-018	0.1366	0
Ni	XIX	0.171	72.5059707602	37	21	1.224E-018	0.6845	0
Fe	XI	0.171	72.5059707602	180	5	1.496E-018	0.1085	0
Fe	XIII	0.171	72.5059707602	140	12	1.31E-018	0.1719	0
S	VII	0.171	72.5059707602	3	1	5.648E-016	0.05437	0.06
Fe	XI	0.171	72.5059707602	149	2	2.213E-017	0.1366	0
S	IX	0.171	72.5059707602	52	9	2.041E-017	0.1085	0
Mg	VIII	0.171	72.5059707602	113	7	5.634E-018	0.08617	0
Si	VII	0.171	72.5059707602	60	4	4.285E-018	0.06845	0
Al	VI	0.171	72.5059707602	240	1	1.433E-018	0.04319	0
Mg	VIII	0.171	72.5059707602	96	6	7.508E-018	0.08617	0
Fe	XI	0.171	72.5059707602	148	2	8.176E-017	0.1366	0.01
Al	VIII	0.17	72.9324764706	89	7	3.699E-018	0.08617	0
Al	VIII	0.17	72.9324764706	89	8	2.171E-017	0.08617	0
Si	IX	0.17	72.9324764706	25	10	1.46E-018	0.1085	0
S	IX	0.17	72.9324764706	37	9	3.147E-018	0.1085	0
Si	IX	0.17	72.9324764706	25	11	3.824E-018	0.1085	0
Fe	XI	0.17	72.9324764706	149	3	3.064E-017	0.1366	0
Fe	XIII	0.17	72.9324764706	179	17	3.555E-018	0.1719	0
Fe	XIV	0.17	72.9324764706	90	16	3.538E-017	0.1719	0
Al	X	0.17	72.9324764706	16	10	1.266E-018	0.1366	0
O	VII	0.17	72.9324764706	131	2	1.034E-018	0.1719	0
Fe	XIV	0.17	72.9324764706	95	20	1.036E-017	0.1719	0
Mg	VIII	0.17	72.9324764706	122	7	2.366E-017	0.08617	0
Fe	X	0.17	72.9324764706	113	2	1.498E-018	0.1085	0
Mg	VIII	0.17	72.9324764706	173	12	1.794E-018	0.08617	0
S	VII	0.17	72.9324764706	2	1	7.196E-016	0.05437	0.07
Fe	XIV	0.17	72.9324764706	91	19	2.904E-017	0.1719	0
Fe	XII	0.17	72.9324764706	250	6	1.53E-018	0.1366	0
Mg	VIII	0.17	72.9324764706	128	9	1.487E-018	0.08617	0
Mg	VIII	0.17	72.9324764706	170	13	1.309E-018	0.08617	0
Mg	VIII	0.17	72.9324764706	127	9	9.271E-018	0.08617	0
Fe	XII	0.17	72.9324764706	249	6	2.033E-018	0.1366	0
Mg	IX	0.17	72.9324764706	33	9	3.812E-018	0.08617	0
Fe	XIII	0.17	72.9324764706	176	17	1.684E-018	0.1719	0
Fe	XIII	0.17	72.9324764706	92	2	1.406E-018	0.1719	0
Ni	XIII	0.17	72.9324764706	223	35	1.456E-018	0.1719	0
Ar	XVI	0.17	72.9324764706	14	7	1.001E-018	0.4319	0
Si	VII	0.17	72.9324764706	57	4	2.807E-018	0.06845	0
Ni	XII	0.17	72.9324764706	59	2	4.604E-018	0.1366	0
Fe	XIV	0.17	72.9324764706	90	19	1.78E-018	0.1719	0
Fe	XIV	0.17	72.9324764706	92	20	2.644E-017	0.1719	0
Al	VIII	0.17	72.9324764706	158	15	1.526E-018	0.08617	0
Fe	XIII	0.17	72.9324764706	247	28	1.09E-018	0.1719	0
Si	VII	0.17	72.9324764706	56	4	1.436E-018	0.06845	0
Mg	VIII	0.17	72.9324764706	128	10	4.942E-018	0.08617	0
Mg	VIII	0.17	72.9324764706	127	10	6.104E-018	0.08617	0
Fe	XII	0.17	72.9324764706	248	6	1.305E-018	0.1366	0
Si	IX	0.17	72.9324764706	50	14	1.068E-017	0.1085	0
Ar	XVI	0.17	72.9324764706	15	8	1.442E-018	0.4319	0
S	IX	0.17	72.9324764706	48	9	2.148E-018	0.1085	0
Si	VII	0.17	72.9324764706	51	1	6.208E-016	0.06845	0.06
Si	VII	0.17	72.9324764706	49	1	4.238E-017	0.06845	0
Si	VII	0.17	72.9324764706	50	1	1.192E-018	0.06845	0
Fe	XIV	0.17	72.9324764706	105	23	1.202E-018	0.1719	0
Si	VIII	0.169	73.3640295858	18	3	3.268E-018	0.08617	0
Co	XIII	0.169	73.3640295858	146	7	1.593E-018	0.1719	0
Fe	XVII	0.169	73.3640295858	143	39	2.507E-018	0.5437	0
Mg	VII	0.169	73.3640295858	263	7	3.509E-018	0.06845	0
Fe	XV	0.169	73.3640295858	86	25	5.676E-018	0.2165	0
Ni	XIX	0.169	73.3640295858	37	22	1.899E-018	0.6845	0
S	IX	0.169	73.3640295858	47	9	7.359E-018	0.1085	0
Mg	VIII	0.169	73.3640295858	112	7	5.671E-018	0.08617	0
Mg	VIII	0.169	73.3640295858	112	6	7.701E-017	0.08617	0.01
Ni	XII	0.169	73.3640295858	56	1	1.175E-017	0.1366	0
Al	VIII	0.169	73.3640295858	86	9	1.218E-018	0.08617	0
Mg	VII	0.169	73.3640295858	100	1	3.721E-018	0.06845	0
Al	VIII	0.169	73.3640295858	152	15	1.192E-018	0.08617	0
Si	VIII	0.169	73.3640295858	17	2	1.09E-018	0.08617	0
Fe	XII	0.169	73.3640295858	245	6	1.504E-018	0.1366	0
Si	VII	0.169	73.3640295858	49	2	1.165E-016	0.06845	0.01
Si	VIII	0.169	73.3640295858	17	3	3.066E-018	0.08617	0
Mg	VII	0.169	73.3640295858	326	14	3.896E-018	0.06845	0
Si	VII	0.169	73.3640295858	50	2	1.649E-017	0.06845	0
Mg	VII	0.169	73.3640295858	100	2	3.017E-018	0.06845	0
Fe	XII	0.169	73.3640295858	244	6	6.564E-018	0.1366	0
Fe	XVII	0.169	73.3640295858	177	42	1.689E-018	0.5437	0
Ni	XIV	0.169	73.3640295858	361	84	1.836E-018	0.1719	0
Si	VII	0.169	73.3640295858	50	3	2.14E-017	0.06845	0
Si	VIII	0.169	73.3640295858	16	2	1.598E-018	0.08617	0
Fe	XII	0.169	73.3640295858	249	7	4.906E-018	0.1366	0
Fe	XV	0.169	73.3640295858	87	26	8.069E-018	0.2165	0
Fe	XIII	0.169	73.3640295858	91	2	2.919E-018	0.1719	0
Fe	XV	0.169	73.3640295858	53	14	7.087E-016	0.2165	0.07
Ne	VIII	0.169	73.3640295858	12	2	8.539E-017	0.06845	0.01
Si	VIII	0.169	73.3640295858	137	12	3.295E-018	0.08617	0
Mg	VII	0.169	73.3640295858	238	7	2.679E-018	0.06845	0
Mg	VII	0.169	73.3640295858	237	7	6.182E-018	0.06845	0
Mg	VII	0.169	73.3640295858	237	8	4.094E-017	0.06845	0
Ne	VIII	0.169	73.3640295858	13	3	1.54E-016	0.06845	0.02
Ne	VIII	0.169	73.3640295858	12	3	1.706E-017	0.06845	0
Fe	XII	0.169	73.3640295858	248	7	1.329E-017	0.1366	0
Fe	XII	0.168	73.8007202381	247	7	5.168E-018	0.1366	0
Al	IX	0.168	73.8007202381	75	8	9.786E-018	0.1085	0
Ni	XII	0.168	73.8007202381	58	2	1.796E-018	0.1366	0
Fe	XII	0.168	73.8007202381	241	6	2.144E-018	0.1366	0
Si	VI	0.168	73.8007202381	79	1	1.865E-017	0.04319	0
Fe	XII	0.168	73.8007202381	240	6	6.64E-017	0.1366	0.01
Na	VII	0.168	73.8007202381	72	1	1.235E-017	0.05437	0
Si	VIII	0.168	73.8007202381	137	13	1.281E-018	0.08617	0
O	VII	0.168	73.8007202381	101	2	2.634E-018	0.2165	0
O	VII	0.168	73.8007202381	100	2	1.451E-018	0.2165	0
Fe	XII	0.168	73.8007202381	248	8	1.086E-017	0.1366	0
Fe	XII	0.168	73.8007202381	247	8	2.689E-017	0.1366	0
Mg	VIII	0.168	73.8007202381	93	3	1.949E-018	0.08617	0
Na	VII	0.168	73.8007202381	73	2	3.284E-018	0.05437	0
Na	VII	0.168	73.8007202381	72	2	2.453E-018	0.05437	0
Ni	XII	0.168	73.8007202381	55	1	6.167E-018	0.1366	0
Mg	VIII	0.168	73.8007202381	77	4	1.051E-018	0.08617	0
Fe	XIII	0.168	73.8007202381	90	1	1.594E-016	0.1719	0.02
Mg	VIII	0.168	73.8007202381	93	4	1.901E-018	0.08617	0
Fe	XII	0.168	73.8007202381	244	7	1.351E-017	0.1366	0
Mg	VIII	0.168	73.8007202381	110	4	2.432E-018	0.08617	0
Fe	XIII	0.168	73.8007202381	293	56	1.434E-018	0.1719	0
Fe	X	0.168	73.8007202381	219	3	1.656E-018	0.1085	0
Fe	XII	0.168	73.8007202381	242	7	3.88E-018	0.1366	0
Si	VI	0.168	73.8007202381	80	2	5.498E-018	0.04319	0
Mg	VIII	0.168	73.8007202381	93	5	3.728E-018	0.08617	0
Fe	XIII	0.168	73.8007202381	91	3	8.184E-018	0.1719	0
Fe	XIII	0.168	73.8007202381	104	6	1.099E-018	0.1719	0
Mg	VIII	0.167	74.2426407186	110	5	2.108E-017	0.08617	0
Ni	XII	0.167	74.2426407186	57	2	1.547E-018	0.1366	0
Al	VIII	0.167	74.2426407186	96	12	2.991E-018	0.08617	0
Al	VIII	0.167	74.2426407186	96	11	6.658E-018	0.08617	0
Fe	XII	0.167	74.2426407186	236	6	2.532E-018	0.1366	0
Si	VII	0.167	74.2426407186	40	1	3.74E-018	0.06845	0
Si	VIII	0.167	74.2426407186	20	4	5.485E-018	0.08617	0
Mg	VIII	0.167	74.2426407186	92	3	5.779E-018	0.08617	0
Si	VIII	0.167	74.2426407186	20	5	2.286E-017	0.08617	0
Ni	XIII	0.167	74.2426407186	233	36	1.753E-018	0.1719	0
Fe	XI	0.167	74.2426407186	150	4	2.071E-018	0.1366	0
Fe	XII	0.167	74.2426407186	241	7	7.12E-018	0.1366	0
Mg	VIII	0.167	74.2426407186	109	4	1.345E-017	0.08617	0
Fe	XIV	0.167	74.2426407186	101	23	1.723E-018	0.1719	0
Fe	XII	0.167	74.2426407186	242	8	3.213E-018	0.1366	0
Mg	VIII	0.167	74.2426407186	92	4	1.079E-017	0.08617	0
Fe	XI	0.167	74.2426407186	148	4	1.152E-018	0.1366	0
Fe	XIV	0.167	74.2426407186	100	22	1.201E-017	0.1719	0
Ni	XIII	0.167	74.2426407186	232	36	2.292E-018	0.1719	0
Ni	XII	0.167	74.2426407186	139	13	1.168E-018	0.1366	0
Fe	XIII	0.167	74.2426407186	196	20	1.164E-018	0.1719	0
Ne	IX	0.167	74.2426407186	11	2	1.232E-017	0.3431	0
Mg	VIII	0.167	74.2426407186	91	3	1.469E-017	0.08617	0
Ne	IX	0.167	74.2426407186	10	2	4.049E-018	0.3431	0
Mg	VIII	0.167	74.2426407186	109	5	1.809E-017	0.08617	0
Mg	VIII	0.167	74.2426407186	92	5	1.692E-018	0.08617	0
Mg	VIII	0.167	74.2426407186	108	4	3.726E-017	0.08617	0
Mg	VIII	0.167	74.2426407186	91	4	1.37E-017	0.08617	0
Mg	VII	0.167	74.2426407186	131	5	3.044E-018	0.06845	0
Ni	XII	0.167	74.2426407186	118	4	1.823E-018	0.1366	0
Ne	IX	0.167	74.2426407186	12	2	2.1E-017	0.3431	0
Fe	XIII	0.167	74.2426407186	90	2	1.13E-016	0.1719	0.01
Si	VIII	0.167	74.2426407186	19	4	9.492E-018	0.08617	0
Mg	VIII	0.167	74.2426407186	120	5	1.848E-017	0.08617	0
Ni	XII	0.167	74.2426407186	117	5	2.923E-018	0.1366	0
Ni	XII	0.167	74.2426407186	119	6	1.051E-018	0.1366	0
Mg	IX	0.167	74.2426407186	23	8	1.282E-018	0.08617	0
Ni	XII	0.167	74.2426407186	141	18	1.424E-018	0.1366	0
Fe	X	0.167	74.2426407186	108	1	4.018E-017	0.1085	0
Fe	XIII	0.167	74.2426407186	103	6	2.896E-017	0.1719	0
Fe	XIII	0.167	74.2426407186	145	13	1.608E-017	0.1719	0
Si	VIII	0.167	74.2426407186	19	5	2.641E-018	0.08617	0
Mg	VIII	0.167	74.2426407186	108	5	7.326E-018	0.08617	0
Fe	XII	0.167	74.2426407186	280	10	4.937E-018	0.1366	0
Ni	XII	0.167	74.2426407186	140	16	1.382E-018	0.1366	0
Mg	IX	0.167	74.2426407186	21	7	3.752E-018	0.08617	0
Mg	VII	0.166	74.6898855422	128	5	4.436E-018	0.06845	0
Ni	XII	0.166	74.6898855422	140	18	1.506E-018	0.1366	0
Fe	XIII	0.166	74.6898855422	89	2	1.582E-017	0.1719	0
Fe	XIII	0.166	74.6898855422	143	13	8.764E-018	0.1719	0
Mg	IX	0.166	74.6898855422	46	10	3E-017	0.08617	0
Ne	VIII	0.166	74.6898855422	9	2	3.332E-017	0.06845	0
Mg	VII	0.166	74.6898855422	126	5	1.567E-018	0.06845	0
Co	XIV	0.166	74.6898855422	96	7	1.839E-018	0.1719	0
Fe	XI	0.166	74.6898855422	165	5	4.959E-018	0.1366	0
Mg	VI	0.166	74.6898855422	274	1	1.528E-018	0.04319	0
Mg	VI	0.166	74.6898855422	273	1	3.086E-018	0.04319	0
Mg	VI	0.166	74.6898855422	272	1	4.477E-018	0.04319	0
Ni	XII	0.166	74.6898855422	141	19	2.931E-018	0.1366	0
Ne	VIII	0.166	74.6898855422	9	3	6.756E-017	0.06845	0.01
Fe	XIII	0.166	74.6898855422	231	28	2.115E-018	0.1719	0
Si	VII	0.166	74.6898855422	38	1	1.785E-018	0.06845	0
Fe	X	0.166	74.6898855422	212	3	6.49E-018	0.1085	0
Si	XII	0.166	74.6898855422	29	6	1.091E-018	0.2165	0
Ni	XII	0.166	74.6898855422	140	19	2.17E-018	0.1366	0
Mg	IX	0.166	74.6898855422	24	9	1.342E-017	0.08617	0
Fe	XIV	0.166	74.6898855422	97	22	4.505E-018	0.1719	0
Fe	XIII	0.166	74.6898855422	140	13	1.677E-017	0.1719	0
Ni	XV	0.166	74.6898855422	95	16	7.621E-018	0.2165	0
Al	IX	0.166	74.6898855422	75	9	2.089E-018	0.1085	0
Al	VI	0.166	74.6898855422	175	1	3.345E-018	0.04319	0
Fe	XIV	0.166	74.6898855422	101	28	2.859E-018	0.1719	0
Al	VI	0.166	74.6898855422	173	1	4.215E-018	0.04319	0
Mg	VIII	0.166	74.6898855422	76	3	1.113E-017	0.06845	0
Mg	VIII	0.166	74.6898855422	31	1	2.006E-015	0.08617	0.21
Fe	XIV	0.166	74.6898855422	101	27	3.167E-018	0.1719	0
Al	VIII	0.166	74.6898855422	36	6	1.509E-018	0.08617	0
Al	VII	0.166	74.6898855422	58	1	4.49E-017	0.06845	0
Fe	XIII	0.166	74.6898855422	90	3	2.603E-016	0.1719	0.03
Fe	X	0.166	74.6898855422	211	3	6.768E-018	0.1085	0
Mg	VIII	0.166	74.6898855422	76	4	1.652E-018	0.06845	0
Al	VII	0.166	74.6898855422	57	1	8.863E-017	0.06845	0.01
Ni	XII	0.166	74.6898855422	134	13	1.747E-018	0.1366	0
Al	VIII	0.165	75.1425515152	23	2	1.13E-018	0.08617	0
Si	VII	0.165	75.1425515152	38	2	1.2E-018	0.06845	0
Si	VII	0.165	75.1425515152	39	2	1.328E-018	0.06845	0
Fe	X	0.165	75.1425515152	210	3	7.73E-018	0.1085	0
Al	VII	0.165	75.1425515152	56	1	1.246E-016	0.06845	0.01
Al	IX	0.165	75.1425515152	75	10	1.182E-018	0.1085	0
Ni	XII	0.165	75.1425515152	139	16	1.125E-018	0.1366	0
Si	VII	0.165	75.1425515152	209	6	1.678E-018	0.06845	0
Al	VI	0.165	75.1425515152	173	2	1.411E-018	0.04319	0
Al	VIII	0.165	75.1425515152	35	6	4.913E-018	0.08617	0
Mg	VI	0.165	75.1425515152	271	1	5.659E-018	0.04319	0
S	IX	0.165	75.1425515152	28	9	5.696E-018	0.1085	0
Mg	VI	0.165	75.1425515152	270	1	3.718E-018	0.04319	0
Mg	VI	0.165	75.1425515152	269	1	1.864E-018	0.04319	0
Al	VII	0.165	75.1425515152	55	1	1.95E-018	0.06845	0
Fe	XIV	0.165	75.1425515152	96	23	4.674E-018	0.1719	0
Fe	XIV	0.165	75.1425515152	100	25	7.286E-018	0.1719	0
Al	VIII	0.165	75.1425515152	22	1	7.199E-018	0.08617	0
Fe	XIII	0.165	75.1425515152	220	28	1.164E-016	0.1719	0.01
Al	VI	0.165	75.1425515152	165	1	5.688E-018	0.04319	0
Mg	VIII	0.165	75.1425515152	50	2	2.759E-016	0.06845	0.03
Fe	XIV	0.165	75.1425515152	100	27	1.116E-017	0.1719	0
Mg	VIII	0.165	75.1425515152	31	2	4.006E-016	0.08617	0.04
Cr	XII	0.165	75.1425515152	93	1	3.432E-018	0.1366	0
Al	VIII	0.165	75.1425515152	23	3	3.352E-018	0.08617	0
Ni	XII	0.165	75.1425515152	128	9	1.328E-018	0.1366	0
Al	VIII	0.165	75.1425515152	34	6	1.309E-017	0.08617	0
Fe	XIII	0.165	75.1425515152	196	25	1.307E-018	0.1719	0
Al	VIII	0.165	75.1425515152	22	2	5.32E-018	0.08617	0
Fe	XI	0.165	75.1425515152	156	5	5.544E-018	0.1366	0
Fe	XV	0.165	75.1425515152	41	7	6.508E-017	0.2165	0.01
Mn	XV	0.165	75.1425515152	11	4	1.969E-018	0.2165	0
Fe	XIV	0.165	75.1425515152	95	22	3.439E-017	0.1719	0
Al	VIII	0.165	75.1425515152	21	2	2.226E-018	0.08617	0
Si	VII	0.165	75.1425515152	67	5	4.698E-018	0.06845	0
O	VII	0.165	75.1425515152	75	2	4.14E-018	0.1719	0
O	VII	0.165	75.1425515152	74	2	2.419E-018	0.1719	0
Ni	XIII	0.165	75.1425515152	129	6	3.079E-017	0.1719	0
Fe	XIV	0.165	75.1425515152	105	30	9.991E-018	0.1719	0
Fe	XIII	0.165	75.1425515152	254	42	1.302E-018	0.1719	0
Fe	XIII	0.165	75.1425515152	182	19	1.13E-018	0.1719	0
Al	VIII	0.165	75.1425515152	22	3	9.068E-018	0.08617	0
Fe	XIV	0.165	75.1425515152	94	22	3.94E-018	0.1719	0
Ni	XII	0.165	75.1425515152	129	11	2.643E-018	0.1366	0
Mn	XV	0.165	75.1425515152	12	5	2.816E-018	0.2165	0
Fe	XIII	0.165	75.1425515152	92	4	5.686E-017	0.1719	0.01
Ni	XIII	0.165	75.1425515152	200	35	1.13E-018	0.1719	0
P	VI	0.164	75.6007378049	27	1	9.339E-018	0.04319	0
Al	VII	0.164	75.6007378049	51	1	6.969E-018	0.06845	0
Fe	XII	0.164	75.6007378049	307	11	1.548E-018	0.1366	0
Fe	XIV	0.164	75.6007378049	94	23	2.185E-017	0.1719	0
Mg	VII	0.164	75.6007378049	263	12	5.319E-018	0.06845	0
Mg	VII	0.164	75.6007378049	263	11	1.131E-017	0.06845	0
Fe	XIII	0.164	75.6007378049	179	19	1.118E-018	0.1719	0
Mg	VIII	0.164	75.6007378049	97	8	1.664E-017	0.08617	0
Fe	XIV	0.164	75.6007378049	93	23	2.775E-018	0.1719	0
Ni	XII	0.164	75.6007378049	124	10	1.515E-018	0.1366	0
Mg	VIII	0.164	75.6007378049	49	14	2.343E-018	0.08617	0
Fe	XIV	0.164	75.6007378049	97	25	4.708E-018	0.1719	0
Fe	XII	0.164	75.6007378049	266	10	1.189E-018	0.1366	0
Ni	XII	0.164	75.6007378049	121	8	2.277E-018	0.1366	0
Fe	XIV	0.164	75.6007378049	97	27	2.062E-017	0.1719	0
Mg	VIII	0.164	75.6007378049	90	3	1.129E-017	0.06845	0
Fe	XIV	0.164	75.6007378049	117	35	1.49E-018	0.1719	0
Ne	VII	0.164	75.6007378049	52	1	2.034E-016	0.05437	0.02
Fe	XIV	0.164	75.6007378049	91	22	7.484E-018	0.1719	0
Fe	X	0.164	75.6007378049	107	1	1.236E-017	0.1085	0
Mg	VIII	0.164	75.6007378049	107	4	2.916E-017	0.06845	0
Fe	XIII	0.164	75.6007378049	182	20	2.402E-018	0.1719	0
Fe	XIV	0.164	75.6007378049	93	24	9.621E-018	0.1719	0
Mg	VIII	0.164	75.6007378049	119	5	3.491E-017	0.06845	0
Fe	XIV	0.164	75.6007378049	116	35	1.173E-017	0.1719	0
Ni	XII	0.164	75.6007378049	134	16	1.443E-018	0.1366	0
Mg	VIII	0.164	75.6007378049	90	4	1.407E-017	0.06845	0
Fe	XIV	0.164	75.6007378049	96	28	4.025E-018	0.1719	0
Ni	XII	0.164	75.6007378049	136	21	2.385E-018	0.1366	0
Ni	XII	0.164	75.6007378049	137	20	1.025E-018	0.1366	0
Fe	XIV	0.164	75.6007378049	96	27	1.909E-018	0.1719	0
Fe	X	0.164	75.6007378049	106	1	3.596E-016	0.1085	0.04
Fe	X	0.164	75.6007378049	101	1	9.226E-017	0.1085	0.01
Mg	VIII	0.164	75.6007378049	107	5	1.195E-017	0.06845	0
Fe	XIV	0.164	75.6007378049	104	30	2.862E-018	0.1719	0
Ni	XIII	0.164	75.6007378049	227	38	1.306E-018	0.1719	0
Cr	XII	0.164	75.6007378049	94	2	1.563E-018	0.1085	0
Fe	XIV	0.164	75.6007378049	42	4	1.638E-018	0.1719	0
Fe	XV	0.164	75.6007378049	39	7	7.357E-018	0.2165	0
Mg	VIII	0.164	75.6007378049	90	5	1.264E-018	0.06845	0
Fe	XIV	0.164	75.6007378049	117	36	4.566E-017	0.1719	0
Ni	XII	0.164	75.6007378049	122	10	1.746E-018	0.1366	0
Si	XII	0.164	75.6007378049	30	7	1.34E-018	0.2165	0
Si	VII	0.164	75.6007378049	187	7	2.078E-018	0.06845	0
Si	VII	0.164	75.6007378049	181	6	2.916E-017	0.06845	0
Fe	XIII	0.163	76.0645460123	179	20	3.632E-018	0.1719	0
O	VIII	0.163	76.0645460123	13	3	8.888E-018	0.2725	0
Fe	XIV	0.163	76.0645460123	90	23	3.832E-018	0.1719	0
O	VIII	0.163	76.0645460123	12	2	1.354E-017	0.2725	0
Si	XII	0.163	76.0645460123	31	8	1.914E-018	0.2165	0
Si	IX	0.163	76.0645460123	33	13	4.532E-018	0.1085	0
O	VIII	0.163	76.0645460123	10	3	8.178E-018	0.2725	0
Si	VII	0.163	76.0645460123	180	6	1.886E-017	0.06845	0
O	VIII	0.163	76.0645460123	11	2	3.687E-018	0.2725	0
Si	VII	0.163	76.0645460123	179	6	4.24E-018	0.06845	0
Cr	XI	0.163	76.0645460123	133	1	1.401E-018	0.1085	0
Ni	XII	0.163	76.0645460123	124	11	5.203E-018	0.1366	0
Al	VIII	0.163	76.0645460123	86	12	5.998E-018	0.08617	0
Al	VIII	0.163	76.0645460123	86	11	2.517E-018	0.08617	0
Fe	X	0.163	76.0645460123	104	1	2.095E-017	0.1085	0
Fe	XIV	0.163	76.0645460123	43	5	1.769E-018	0.1719	0
Fe	XV	0.163	76.0645460123	49	14	1.003E-018	0.2165	0
Fe	XXIII	0.163	76.0645460123	114	56	1.958E-018	1.366	0
O	VIII	0.163	76.0645460123	14	4	1.92E-017	0.2725	0
O	VIII	0.163	76.0645460123	13	4	1.772E-018	0.2725	0
Fe	XII	0.163	76.0645460123	230	6	1.414E-018	0.1366	0
O	VIII	0.163	76.0645460123	10	4	1.63E-017	0.2725	0
