# strong X-ray emission lines with Emissivity>1e-18
# with 0.1 keV < energy < 10.1 keV
# www.atomdb.org/Webguide, uses atomDB 3.0.2
ion	ionization_stage	energy	wavelength	upper_lev	lower_lev	emissivity	kT	relative_intensity
#(-)	(-)	(keV)	(A)	(level)	(level)	(ph*cm3/s)	(keV)	(-)
Fe	XXIV	1.496	8.2877814171	9	2	2.65E-018	1.719	0
Fe	XXIII	1.493	8.3044346952	52	1	2.178E-017	1.366	0
Fe	XXIII	1.491	8.3155741113	50	1	3.437E-018	1.366	0
Fe	XXIV	1.491	8.3155741113	12	3	1.687E-018	1.719	0
Fe	XXIV	1.491	8.3155741113	13	3	1.545E-017	1.719	0
Fe	XXI	1.491	8.3155741113	581	1	4.161E-018	1.085	0
Fe	XXII	1.488	8.3323393817	178	6	1.771E-018	1.085	0
Fe	XXIV	1.48	8.3773790541	9	3	6.379E-018	1.719	0
Fe	XXII	1.478	8.3887151556	160	6	1.277E-018	1.085	0
Fe	XXII	1.475	8.4057769492	177	8	1.193E-018	1.085	0
Mg	XII	1.473	8.4171900883	4	1	7.48E-017	0.8617	0.01
Mg	XII	1.472	8.422908288	3	1	3.793E-017	0.8617	0
Fe	XXIII	1.454	8.5271808803	53	2	1.382E-018	1.366	0
Fe	XXIII	1.451	8.5448111647	53	3	1.007E-018	1.366	0
Fe	XXIII	1.451	8.5448111647	54	3	2.801E-018	1.366	0
Mg	XI_DRsat	1.45	8.5507041379	10017	7	1.967E-018	0.6845	0
Fe	XXI	1.446	8.574357538	460	1	1.769E-017	1.085	0
Fe	XXI	1.441	8.6041089521	460	2	2.573E-018	1.085	0
Fe	XXIII	1.439	8.6160674079	55	4	4.881E-018	1.366	0
Fe	XXI	1.435	8.6400843206	458	2	1.78E-018	1.085	0
Fe	XXI	1.431	8.6642354997	459	3	1.289E-018	1.085	0
Fe	XXIII	1.426	8.694615007	47	4	1.164E-018	1.366	0
Fe	XXII	1.425	8.7007164912	85	1	4.219E-018	1.085	0
Fe	XXII	1.423	8.7129451862	86	1	7.211E-018	1.085	0
Fe	XXII	1.419	8.7375059901	81	1	2.59E-018	1.085	0
Fe	XXIII	1.407	8.8120262971	56	5	2.513E-017	1.366	0
Fe	XX	1.405	8.8245701068	700	1	1.25E-018	0.8617	0
Fe	XXI	1.404	8.8308554131	460	5	1.293E-018	1.085	0
Ni	XIX	1.401	8.8497651677	155	1	1.4E-018	0.6845	0
Fe	XXI	1.399	8.8624167262	599	7	4.603E-018	1.085	0
Fe	XXIII	1.392	8.906983477	48	5	9.924E-018	1.366	0
Fe	XXIII	1.39	8.9197992806	97	10	1.158E-018	1.366	0
Fe	XXI	1.389	8.9262210223	553	7	2.549E-018	1.085	0
Fe	XXII	1.387	8.9390922855	137	6	1.356E-018	1.085	0
Fe	XXII	1.384	8.9584689306	138	7	1.195E-018	1.085	0
Fe	XXII	1.381	8.977929761	72	1	2.758E-017	1.085	0
Fe	XXII	1.378	8.9974753266	99	4	1.408E-018	1.085	0
Fe	XXII	1.374	9.0236688501	90	4	1.272E-018	1.085	0
Fe	XXII	1.371	9.0434142961	89	4	1.784E-018	1.085	0
Ni	XXI	1.371	9.0434142961	243	1	1.618E-018	1.085	0
Fe	XXII	1.37	9.0500153285	73	2	5.936E-018	1.085	0
Fe	XXII	1.37	9.0500153285	72	2	5.504E-018	1.085	0
Ni	XXVI	1.368	9.063246345	6	1	3.594E-018	2.165	0
Fe	XXII	1.368	9.063246345	91	5	1.571E-018	1.085	0
Fe	XX	1.368	9.063246345	594	1	4.371E-018	0.8617	0
Fe	XX	1.368	9.063246345	592	1	6.18E-018	0.8617	0
Fe	XX	1.367	9.0698763716	590	1	3.012E-018	0.8617	0
Ni	XXVI	1.362	9.1031725404	5	1	1.872E-018	2.165	0
Fe	XX	1.362	9.1031725404	559	1	4.781E-018	0.8617	0
Fe	XX	1.361	9.1098611315	555	1	1.12E-018	0.8617	0
Fe	XXII	1.356	9.1434520649	139	10	1.42E-018	1.085	0
Ni	XIX	1.355	9.1502	118	1	1.889E-018	0.6845	0
Fe	XX	1.353	9.1637257945	533	1	2.837E-018	0.8617	0
Mg	XI	1.352	9.1705036982	7	1	1.118E-016	0.5437	0.01
Fe	XXII	1.352	9.1705036982	69	2	1.383E-018	1.085	0
Mg	X_DRsat	1.351	9.1772916358	10140	13	1.521E-018	0.4319	0
Mg	X_DRsat	1.351	9.1772916358	10094	7	1.651E-018	0.4319	0
Mg	X_DRsat	1.35	9.1840896296	10122	11	1.394E-018	0.4319	0
Mg	X_DRsat	1.35	9.1840896296	10095	8	2.512E-018	0.4319	0
Fe	XX	1.349	9.190897702	526	1	2.812E-018	0.8617	0
Mg	X_DRsat	1.349	9.190897702	10088	5	1.595E-018	0.4319	0
Mg	X_DRsat	1.349	9.190897702	10089	6	2.467E-018	0.4319	0
Fe	XXI	1.348	9.1977158754	283	1	1.327E-017	1.085	0
Fe	XX	1.348	9.1977158754	518	1	1.154E-018	0.8617	0
Fe	XXI	1.348	9.1977158754	308	3	1.272E-018	1.085	0
Fe	XXI	1.348	9.1977158754	306	3	1.013E-018	1.085	0
Fe	XIX	1.345	9.2182312268	681	1	1.159E-018	0.8617	0
Fe	XX	1.345	9.2182312268	566	2	1.419E-018	0.8617	0
Mg	XI	1.344	9.2250900298	6	1	2.114E-018	0.5437	0
Fe	XIX	1.343	9.2319590469	678	1	1.556E-018	0.8617	0
Fe	XXII	1.343	9.2319590469	99	6	7.682E-018	1.085	0
Mg	XI	1.343	9.2319590469	5	1	1.945E-017	0.5437	0
Fe	XXII	1.342	9.238838301	96	6	1.417E-018	1.085	0
Ne	X	1.341	9.2457278151	52	1	1.058E-018	0.5437	0
Ni	XIX	1.34	9.2526276119	93	1	2.902E-018	0.6845	0
Fe	XX	1.336	9.2803300898	533	2	2.403E-018	0.8617	0
Ne	X	1.335	9.2872816479	39	1	1.644E-018	0.5437	0
Mg	XI	1.331	9.3151923366	2	1	6.587E-017	0.5437	0.01
Mg	X_DRsat	1.331	9.3151923366	10247	2	1.852E-018	0.4319	0
Mg	X_DRsat	1.33	9.3221962406	10248	3	2.923E-018	0.4319	0
Fe	XXII	1.328	9.3362356928	96	8	4.488E-018	1.085	0
Ni	XXV	1.327	9.3432712886	15	1	4.04E-018	1.719	0
Ne	X	1.325	9.3573743396	28	1	2.762E-018	0.5437	0
Ne	X	1.325	9.3573743396	27	1	1.406E-018	0.5437	0
Fe	XXII	1.325	9.3573743396	78	6	5.093E-018	1.085	0
Ni	XX	1.324	9.3644418429	180	1	1.151E-018	0.8617	0
Ni	XXVI	1.321	9.3857085541	7	2	2.507E-018	2.165	0
Ni	XXV	1.32	9.3928189394	13	1	2.773E-018	1.719	0
Fe	XX	1.318	9.4070720789	717	6	1.934E-018	0.8617	0
Fe	XXI	1.317	9.4142148823	408	7	1.544E-018	1.085	0
Fe	XXI	1.314	9.4357085236	248	1	6.178E-017	1.085	0.01
Fe	XXII	1.31	9.4645198473	78	8	2.193E-018	1.085	0
Ni	XX	1.309	9.471750191	164	1	1.87E-018	0.8617	0
Ne	X	1.308	9.4789915902	19	1	5.027E-018	0.5437	0
Ne	X	1.308	9.4789915902	18	1	2.461E-018	0.5437	0
Fe	XX	1.306	9.493507657	694	6	1.041E-018	0.8617	0
Fe	XXI	1.305	9.5007823755	248	2	9.523E-018	1.085	0
Fe	XXI	1.304	9.5080682515	246	2	5.035E-018	1.085	0
Ni	XXVI	1.301	9.5299930822	8	3	4.491E-018	2.165	0
Fe	XXI	1.299	9.5446658968	248	3	1.204E-018	1.085	0
Fe	XXI	1.299	9.5446658968	247	3	4.077E-018	1.085	0
Ni	XX	1.297	9.559383963	138	1	1.843E-018	0.8617	0
Fe	XXI	1.297	9.559383963	292	6	2.052E-018	1.085	0
Fe	XXI	1.296	9.5667600309	245	3	1.183E-018	1.085	0
Ni	XXVI	1.294	9.5815463679	4	2	1.014E-018	2.165	0
Fe	XVIII	1.284	9.6561690031	396	1	1.059E-018	0.6845	0
Fe	XVIII	1.284	9.6561690031	395	1	1.185E-018	0.6845	0
Fe	XXI	1.283	9.6636952455	266	5	2.522E-018	1.085	0
Fe	XIX	1.28	9.6863445313	536	1	3.303E-018	0.8617	0
Fe	XIX	1.279	9.6939179046	532	1	8.318E-018	0.8617	0
Fe	XIX	1.279	9.6939179046	529	1	6.23E-018	0.8617	0
Fe	XXI	1.277	9.7091002349	410	13	2.626E-018	1.085	0
Ne	X	1.277	9.7091002349	12	1	1.137E-017	0.5437	0
Ne	X	1.277	9.7091002349	11	1	6.211E-018	0.5437	0
Fe	XXI	1.276	9.7167092476	238	3	1.603E-018	1.085	0
Fe	XX	1.275	9.7243301961	365	1	2.07E-018	0.8617	0
Fe	XX	1.275	9.7243301961	364	1	6.145E-018	0.8617	0
Fe	XX	1.275	9.7243301961	363	1	4.032E-018	0.8617	0
Fe	XIX	1.274	9.7319631083	491	1	6.083E-018	0.8617	0
Ni	XXV	1.272	9.7472649371	19	4	1.295E-018	2.165	0
Ni	XXVI	1.272	9.7472649371	4	3	2.262E-018	2.165	0
Fe	XXI	1.268	9.7780134069	248	5	3.228E-018	1.085	0
Fe	XIX	1.264	9.8089564873	496	3	1.886E-018	0.8617	0
Fe	XXI	1.263	9.816722882	296	7	1.578E-017	1.085	0
Fe	XIX	1.259	9.8479118348	536	4	1.299E-018	0.8617	0
Fe	XIX	1.258	9.8557400636	432	1	2.062E-017	0.8617	0
Fe	XIX	1.257	9.8635807478	428	1	1.649E-018	0.8617	0
Fe	XXI	1.255	9.8792996016	358	13	1.231E-018	1.085	0
Fe	XIX	1.253	9.8950686353	491	4	1.216E-018	0.8617	0
Fe	XIX	1.247	9.9426792302	428	3	2.068E-018	0.8617	0
Fe	XXI	1.244	9.9666567524	296	11	1.565E-018	1.085	0
Ni	XXV	1.244	9.9666567524	20	5	8.275E-018	1.719	0
Ni	XIX	1.243	9.9746749799	71	1	7.933E-018	0.6845	0
Fe	XXI	1.241	9.9907502015	276	7	1.025E-017	1.085	0
Fe	XXV	1.239	10.0068773204	12	2	2.16E-018	5.437	0
Na	XI	1.237	10.0230565885	4	1	4.556E-018	0.6845	0
Fe	XX	1.237	10.0230565885	300	1	2.561E-018	0.8617	0
Na	XI	1.237	10.0230565885	3	1	1.464E-018	0.6845	0
Ni	XXIV	1.237	10.0230565885	32	1	1.656E-018	1.719	0
Fe	XIX	1.236	10.0311658576	695	6	1.499E-018	0.8617	0
Fe	XIX	1.23	10.080098374	357	1	1.11E-018	0.8617	0
Ni	XIX	1.226	10.1129861338	59	1	7.184E-018	0.6845	0
Fe	XIX	1.225	10.1212416327	354	1	3.154E-018	0.8617	0
Fe	XVII	1.225	10.1212416327	245	1	5.286E-018	0.5437	0
Fe	XIX	1.224	10.1295106209	353	1	1.861E-018	0.8617	0
Fe	XXI	1.223	10.1377931316	276	11	1.079E-018	1.085	0
Fe	XIX	1.223	10.1377931316	674	6	1.455E-018	0.8617	0
Fe	XIX	1.222	10.146089198	351	1	5.343E-018	0.8617	0
Fe	XX	1.219	10.1710590648	300	2	2.758E-018	0.8617	0
Fe	XX	1.219	10.1710590648	303	3	1.246E-018	0.8617	0
Fe	XX	1.214	10.2129497529	300	3	1.055E-018	0.8617	0
Ne	X	1.211	10.2382502064	7	1	3.223E-017	0.5437	0
Ne	X	1.211	10.2382502064	6	1	1.94E-017	0.5437	0
Ni	XXIV	1.206	10.2806973466	21	1	7.558E-018	1.366	0
Ni	XXV	1.201	10.3234979184	12	5	4.481E-018	1.719	0
Fe	XVIII	1.197	10.3579958229	328	1	7.688E-018	0.6845	0
Fe	XVIII	1.196	10.3666563545	326	1	7.313E-018	0.6845	0
Fe	XVIII	1.196	10.3666563545	323	1	5.017E-018	0.6845	0
Fe	XX	1.194	10.384020938	376	6	6.839E-018	0.8617	0
Fe	XX	1.194	10.384020938	373	6	1.68E-018	0.8617	0
Fe	XVII	1.193	10.3927250629	231	1	1.327E-017	0.5437	0
Fe	XVIII	1.187	10.4452577928	276	1	1.678E-017	0.6845	0
Fe	XX	1.186	10.4540649241	374	7	1.668E-018	0.8617	0
Ni	XXIV	1.186	10.4540649241	21	2	1.403E-018	1.366	0
Fe	XX	1.186	10.4540649241	373	7	3.074E-018	0.8617	0
Ni	XXIII	1.185	10.4628869198	58	1	1.464E-018	1.366	0
Fe	XVIII	1.185	10.4628869198	331	2	1.725E-018	0.6845	0
Fe	XVIII	1.185	10.4628869198	330	2	2.871E-018	0.6845	0
Fe	XVIII	1.184	10.4717238176	267	1	1.375E-018	0.6845	0
Fe	XVIII	1.184	10.4717238176	326	2	2.184E-018	0.6845	0
Fe	XX	1.183	10.4805756551	375	8	1.302E-018	0.8617	0
Fe	XX	1.183	10.4805756551	374	8	1.301E-018	0.8617	0
Fe	XXIII	1.181	10.4983243014	25	1	1.094E-018	1.366	0
Fe	XVIII	1.181	10.4983243014	261	1	1.991E-018	0.6845	0
Fe	XVII	1.18	10.5072211864	205	1	2.777E-017	0.5437	0
Ne	IX	1.179	10.5161331637	123	1	1.913E-018	0.4319	0
Fe	XVIII	1.179	10.5161331637	256	1	1.388E-018	0.6845	0
Fe	XVIII	1.177	10.5340025489	232	1	2.389E-017	0.6845	0
Fe	XVIII	1.177	10.5340025489	231	1	1.217E-017	0.6845	0
Fe	XVIII	1.176	10.542960034	228	1	2.716E-018	0.6845	0
Ne	IX	1.174	10.5609207836	93	1	2.839E-018	0.4319	0
Fe	XVIII	1.174	10.5609207836	273	2	1.407E-018	0.6845	0
Fe	XVIII	1.174	10.5609207836	221	1	6.892E-018	0.6845	0
Fe	XVIII	1.173	10.5699241262	220	1	3.947E-018	0.6845	0
Fe	XVIII	1.173	10.5699241262	269	2	1.041E-018	0.6845	0
Fe	XVIII	1.172	10.5789428328	216	1	2.949E-018	0.6845	0
Fe	XXV	1.171	10.5879769428	9	7	1.494E-018	5.437	0
Fe	XIX	1.17	10.5970264957	292	1	1.323E-017	0.8617	0
Fe	XX	1.17	10.5970264957	356	6	4.854E-018	0.8617	0
Fe	XIX	1.168	10.615172089	289	1	1.829E-018	0.8617	0
Fe	XIX	1.168	10.615172089	288	1	3.122E-017	0.8617	0
Fe	XXIV	1.168	10.615172089	6	1	1.106E-016	1.719	0.01
Fe	XIX	1.168	10.615172089	286	1	2.96E-017	0.8617	0
Ne	IX	1.166	10.6333799314	67	1	4.467E-018	0.3431	0
